Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,74.000000,75.230003,74.000000,75.099998,75.099998,2292470
2018-01-03,75.000000,75.769997,74.900002,75.300003,75.300003,3765200
2018-01-04,75.540001,76.440002,75.510002,76.000000,76.000000,2245750
2018-01-05,76.000000,76.440002,75.559998,76.440002,76.440002,2288790
2018-01-08,76.330002,76.760002,75.930000,76.760002,76.760002,2544400
2018-01-09,76.919998,76.919998,75.949997,76.160004,76.160004,3567920
2018-01-10,75.720001,75.900002,74.949997,75.599998,75.599998,3072350
2018-01-11,75.599998,76.660004,75.599998,76.660004,76.660004,2366520
2018-01-12,76.400002,76.750000,76.050003,76.669998,76.669998,1406240
2018-01-15,76.739998,77.099998,76.739998,77.070000,77.070000,1436620
2018-01-16,76.750000,77.500000,76.750000,77.059998,77.059998,1569030
2018-01-17,77.010002,78.419998,77.000000,78.410004,78.410004,2267100
2018-01-18,78.449997,78.580002,77.750000,78.099998,78.099998,2163080
2018-01-19,78.510002,78.650002,78.059998,78.419998,78.419998,1183590
2018-01-22,79.389999,79.389999,78.120003,78.839996,78.839996,838760
2018-01-23,78.529999,78.809998,77.790001,77.910004,77.910004,2468310
2018-01-24,78.370003,80.830002,78.370003,80.830002,80.830002,5796240
2018-01-25,80.830002,80.830002,80.830002,80.830002,80.830002,0
2018-01-26,81.260002,82.650002,81.019997,82.650002,82.650002,4223880
2018-01-29,82.000000,82.500000,81.459999,81.779999,81.779999,2146330
2018-01-30,81.400002,81.739998,80.760002,81.610001,81.610001,1996830
2018-01-31,82.059998,83.220001,82.000000,82.000000,82.000000,4614820
2018-02-01,82.019997,83.099998,81.669998,82.550003,82.550003,4343580
2018-02-02,81.949997,82.150002,81.000000,81.239998,81.239998,2265960
2018-02-05,80.589996,81.470001,79.199997,79.199997,79.199997,2817520
2018-02-06,77.620003,81.300003,77.620003,81.150002,81.150002,4423260
2018-02-07,80.900002,81.519997,79.720001,79.959999,79.959999,2887210
2018-02-08,80.360001,80.639999,78.339996,78.699997,78.699997,2584050
2018-02-09,78.669998,79.099998,76.959999,78.169998,78.169998,3300050
2018-02-14,null,null,null,null,null,null
2018-02-15,81.150002,81.750000,81.019997,81.400002,81.400002,2244920
2018-02-16,81.459999,81.790001,80.970001,81.559998,81.559998,3015210
2018-02-19,81.699997,82.400002,81.660004,81.860001,81.860001,1567300
2018-02-20,81.489998,83.339996,81.139999,82.940002,82.940002,3467840
2018-02-21,83.099998,84.389999,83.000000,83.040001,83.040001,3627400
2018-02-22,83.199997,84.180000,83.059998,83.750000,83.750000,3116580
2018-02-23,84.190002,84.290001,83.120003,84.290001,84.290001,4024230
2018-02-26,85.000000,85.320000,84.290001,84.720001,84.720001,2783850
2018-02-27,84.599998,84.860001,83.680000,84.089996,84.089996,1845540
2018-02-28,84.209999,84.209999,82.500000,82.500000,82.500000,4647170
2018-03-01,82.500000,83.370003,81.730003,82.519997,82.519997,3489650
2018-03-02,81.879997,82.949997,81.059998,82.949997,82.949997,2821630
2018-03-05,82.790001,83.290001,82.120003,82.900002,82.900002,1791010
2018-03-06,83.750000,84.000000,82.690002,82.690002,82.690002,2655370
2018-03-07,82.580002,82.750000,81.570000,82.599998,82.599998,2040590
2018-03-08,83.000000,83.000000,81.599998,82.139999,82.139999,1571510
2018-03-09,82.139999,83.449997,81.650002,83.400002,83.400002,1362330
2018-03-12,83.839996,84.099998,83.580002,83.949997,83.949997,3349860
2018-03-13,84.489998,84.489998,83.180000,83.500000,83.500000,2614500
2018-03-14,83.820000,84.050003,82.790001,83.139999,83.139999,1917640
2018-03-15,83.110001,83.110001,81.870003,82.070000,82.070000,3291090
2018-03-16,82.230003,82.680000,81.870003,82.010002,82.010002,1768750
2018-03-19,81.430000,81.839996,80.849998,81.089996,81.089996,5178980
2018-03-20,81.120003,81.589996,80.879997,81.400002,81.400002,2082140
2018-03-21,81.589996,82.309998,81.220001,82.089996,82.089996,3553050
2018-03-22,82.050003,82.639999,79.500000,81.790001,81.790001,2266210
2018-03-23,81.500000,82.599998,81.099998,81.580002,81.580002,2402740
2018-03-26,82.550003,82.680000,81.449997,82.230003,82.230003,1721100
2018-03-27,82.400002,82.470001,80.699997,80.980003,80.980003,2031650
2018-03-28,80.860001,81.080002,80.089996,81.019997,81.019997,3294420
2018-03-29,81.209999,82.800003,81.199997,82.430000,82.430000,2940390
2018-04-02,82.300003,82.769997,81.309998,81.849998,81.849998,2503800
2018-04-03,82.000000,82.599998,81.339996,81.750000,81.750000,2531590
2018-04-04,80.900002,81.550003,80.000000,81.400002,81.400002,2470580
2018-04-05,83.099998,83.120003,82.099998,82.370003,82.370003,3274490
2018-04-06,82.279999,82.279999,80.970001,81.940002,81.940002,1309960
2018-04-09,82.220001,82.220001,80.199997,80.419998,80.419998,1733720
2018-04-10,81.199997,81.650002,80.510002,81.559998,81.559998,1624640
2018-04-11,81.400002,82.519997,81.400002,82.449997,82.449997,1707610
2018-04-12,82.440002,82.699997,81.870003,82.430000,82.430000,701730
2018-04-13,82.300003,82.309998,81.199997,81.300003,81.300003,3018020
2018-04-16,81.419998,81.750000,79.940002,79.980003,79.980003,2740530
2018-04-17,80.089996,81.370003,80.019997,81.110001,81.110001,3833610
2018-04-18,81.989998,83.150002,81.900002,82.699997,82.699997,3766280
2018-04-19,82.599998,83.080002,82.239998,82.900002,82.900002,2928110
2018-04-20,82.699997,82.800003,82.010002,82.739998,82.739998,1158720
2018-04-23,82.309998,82.830002,81.830002,82.699997,82.699997,1471760
2018-04-24,82.730003,83.620003,82.150002,82.480003,82.480003,3919200
2018-04-25,81.790001,82.400002,81.430000,82.080002,82.080002,1423680
2018-04-26,82.160004,83.510002,82.160004,83.510002,83.510002,1050390
2018-04-27,83.730003,84.150002,83.239998,83.470001,83.470001,1886310
2018-04-30,83.480003,83.820000,83.000000,83.180000,83.180000,2440280
2018-05-02,82.430000,82.489998,81.510002,81.709999,81.709999,2730510
2018-05-03,81.300003,81.650002,80.330002,80.489998,80.489998,3364360
2018-05-04,80.320000,80.849998,79.910004,80.260002,80.260002,2370440
2018-05-07,80.269997,80.800003,79.720001,79.820000,79.820000,1803460
2018-05-08,80.000000,80.550003,79.370003,80.220001,80.220001,2222450
2018-05-09,80.410004,81.599998,79.980003,81.349998,81.349998,1895710
2018-05-10,81.849998,83.199997,81.820000,82.870003,82.870003,3868320
2018-05-11,82.809998,83.440002,82.180000,82.290001,82.290001,1481310
2018-05-14,82.970001,83.110001,81.720001,82.389999,82.389999,1636100
2018-05-15,81.389999,82.279999,80.910004,82.209999,82.209999,3052870
2018-05-16,82.209999,83.669998,81.349998,83.419998,83.419998,3632500
2018-05-17,82.889999,83.000000,80.500000,80.779999,80.779999,4942890
2018-05-18,79.989998,80.300003,78.589996,80.209999,80.209999,4685590
2018-05-21,80.930000,80.949997,78.790001,79.199997,79.199997,2486800
2018-05-22,79.860001,80.529999,78.739998,80.000000,80.000000,6621530
2018-05-23,78.980003,79.290001,78.000000,78.250000,78.250000,3207970
2018-05-24,76.669998,77.610001,76.209999,77.449997,77.449997,3676750
2018-05-25,77.449997,77.449997,77.449997,77.449997,77.449997,0
2018-05-28,77.500000,77.849998,72.690002,72.690002,72.690002,5519000
2018-05-29,73.940002,74.559998,72.800003,73.400002,73.400002,6758590
2018-05-30,73.250000,74.470001,72.879997,74.070000,74.070000,5190500
2018-06-01,74.750000,75.430000,72.750000,74.620003,74.620003,3109490
2018-06-04,75.529999,75.949997,75.160004,75.849998,75.849998,2518840
2018-06-05,75.300003,76.160004,73.779999,74.099998,74.099998,1922480
2018-06-06,73.599998,74.330002,72.830002,73.470001,73.470001,4937200
2018-06-07,72.489998,72.620003,68.690002,71.370003,71.370003,8203450
2018-06-08,71.500000,72.000000,69.150002,70.400002,70.400002,6794370
2018-06-11,70.500000,72.000000,69.339996,69.860001,69.860001,3261420
2018-06-12,69.849998,70.790001,69.580002,70.269997,70.269997,2469070
2018-06-13,70.610001,70.610001,68.589996,69.750000,69.750000,4546250
2018-06-14,69.750000,70.309998,68.800003,68.800003,68.800003,3107620
2018-06-15,68.650002,68.690002,67.139999,68.110001,68.110001,5814500
2018-06-18,67.650002,68.000000,66.940002,67.519997,67.519997,4350520
2018-06-19,66.959999,69.589996,66.639999,68.809998,68.809998,2996190
2018-06-20,69.650002,70.019997,68.629997,69.510002,69.510002,3315200
2018-06-21,69.339996,69.599998,67.570000,67.660004,67.660004,2986380
2018-06-22,68.010002,68.580002,67.470001,68.180000,68.180000,1317850
2018-06-25,68.349998,68.870003,67.330002,68.599998,68.599998,4309650
2018-06-26,68.620003,69.110001,67.739998,69.000000,69.000000,2142290
2018-06-27,68.699997,69.470001,67.650002,68.000000,68.000000,1765480
2018-06-28,68.000000,69.580002,67.940002,69.400002,69.400002,2073370
2018-06-29,70.000000,70.440002,69.559998,70.349998,70.349998,4618140
2018-07-02,69.589996,70.300003,69.389999,70.300003,70.300003,1904690
2018-07-03,70.510002,71.919998,70.510002,71.099998,71.099998,3489390
2018-07-04,71.300003,72.220001,70.860001,72.110001,72.110001,2064650
2018-07-05,72.110001,72.500000,71.129997,71.870003,71.870003,2389720
2018-07-06,71.870003,72.449997,71.430000,72.449997,72.449997,1264210
2018-07-10,73.000000,73.239998,71.809998,72.349998,72.349998,2998890
2018-07-11,71.900002,72.449997,71.599998,71.760002,71.760002,3648260
2018-07-12,71.910004,73.260002,71.910004,73.260002,73.260002,2300060
2018-07-13,73.339996,74.010002,72.889999,74.010002,74.010002,1490600
2018-07-16,73.870003,74.260002,73.449997,73.949997,73.949997,2507390
2018-07-17,73.989998,75.800003,73.989998,75.370003,75.370003,4886570
2018-07-18,75.389999,75.650002,74.440002,74.660004,74.660004,2070230
2018-07-19,73.889999,74.650002,73.239998,74.650002,74.650002,2014870
2018-07-20,76.500000,76.699997,75.550003,75.800003,75.800003,5432360
2018-07-23,75.599998,75.879997,75.110001,75.250000,75.250000,1766630
2018-07-24,76.410004,76.709999,76.019997,76.500000,76.500000,2251430
2018-07-25,76.680000,77.650002,76.510002,77.370003,77.370003,2663670
2018-07-26,77.400002,77.669998,76.309998,76.620003,76.620003,2110500
2018-07-27,77.019997,77.449997,76.629997,77.129997,77.129997,3133040
2018-07-30,77.190002,77.669998,76.900002,77.419998,77.419998,1505230
2018-07-31,77.059998,77.099998,76.230003,76.449997,76.449997,2239720
2018-08-01,76.010002,76.959999,76.000000,76.459999,76.459999,1698780
2018-08-02,76.250000,77.129997,75.800003,76.949997,76.949997,1929680
2018-08-03,77.470001,78.940002,77.370003,78.660004,78.660004,3568530
2018-08-06,78.800003,78.919998,78.129997,78.239998,78.239998,1832160
2018-08-07,78.769997,78.940002,77.129997,77.489998,77.489998,6178040
2018-08-08,77.570000,78.120003,76.180000,76.320000,76.320000,3667070
2018-08-09,76.650002,76.699997,75.400002,75.959999,75.959999,4730950
2018-08-10,75.489998,75.489998,73.400002,73.800003,73.800003,8498750
2018-08-13,73.410004,74.989998,73.269997,74.889999,74.889999,3423880
2018-08-14,75.500000,75.989998,74.940002,75.900002,75.900002,2888740
2018-08-15,75.250000,75.260002,74.169998,74.389999,74.389999,3944040
2018-08-16,74.830002,74.989998,73.720001,74.139999,74.139999,3103830
2018-08-17,73.320000,73.709999,73.010002,73.349998,73.349998,3271310
2018-08-20,73.150002,73.839996,72.910004,73.680000,73.680000,5018420
2018-08-21,73.389999,73.690002,72.300003,72.510002,72.510002,3164630
2018-08-22,72.440002,74.150002,72.080002,74.150002,74.150002,3407500
2018-08-23,74.250000,74.529999,72.849998,73.029999,73.029999,2569870
2018-08-24,73.800003,74.000000,73.070000,73.680000,73.680000,1966850
2018-08-27,73.849998,75.279999,73.849998,75.099998,75.099998,2952810
2018-08-28,75.000000,75.309998,74.430000,74.790001,74.790001,1966220
2018-08-29,74.800003,76.040001,74.800003,75.680000,75.680000,2110820
2018-08-30,75.190002,75.500000,73.699997,73.739998,73.739998,5157370
2018-08-31,73.669998,74.500000,73.339996,74.120003,74.120003,3273090
2018-09-03,73.660004,73.730003,73.089996,73.480003,73.480003,2277100
2018-09-04,73.330002,73.379997,71.970001,72.070000,72.070000,2660690
2018-09-05,71.900002,72.720001,71.629997,72.419998,72.419998,1415260
2018-09-06,73.029999,74.099998,72.330002,74.099998,74.099998,3526080
2018-09-10,74.320000,74.680000,73.430000,74.000000,74.000000,2542350
2018-09-11,72.760002,72.760002,71.690002,72.129997,72.129997,5744950
